station,valid,tmpf,dwpf,sknt,drct,alti,p01i,skyc1
LAX,2026-01-05 19:53,61.00,53.00,3.00,190.00,30.08,0.00,SCT
LAX,2026-01-05 20:53,64.00,54.00,3.00,null,30.06,0.00,FEW
LAX,2026-01-05 21:53,63.00,52.00,9.00,240.00,30.04,0.00,FEW
LAX,2026-01-05 22:53,62.00,51.00,7.00,260.00,30.04,0.00,FEW
LAX,2026-01-05 23:53,61.00,52.00,8.00,260.00,30.04,0.00,FEW
LAX,2026-01-06 00:53,59.00,52.00,6.00,240.00,30.04,0.00,FEW
LAX,2026-01-06 01:53,59.00,52.00,5.00,230.00,30.06,0.00,FEW
LAX,2026-01-06 02:53,59.00,52.00,0.00,0.00,30.07,0.00,FEW
LAX,2026-01-06 03:53,58.00,53.00,0.00,0.00,30.08,0.00,SCT
LAX,2026-01-06 04:53,58.00,53.00,3.00,30.00,30.09,0.00,FEW
LAX,2026-01-06 05:53,57.00,53.00,3.00,50.00,30.09,0.00,FEW
LAX,2026-01-06 06:53,57.00,53.00,4.00,50.00,30.09,null,FEW
LAX,2026-01-06 07:53,58.00,54.00,3.00,null,30.08,0.03,FEW
LAX,2026-01-06 08:53,57.00,54.00,0.00,0.00,30.07,null,FEW
LAX,2026-01-06 09:53,56.00,53.00,3.00,80.00,30.08,0.02,FEW
LAX,2026-01-06 10:53,55.00,53.00,5.00,90.00,30.08,0.00,FEW
LAX,2026-01-06 11:53,54.00,52.00,5.00,80.00,30.07,0.00,FEW
LAX,2026-01-06 12:53,55.00,51.00,6.00,70.00,30.06,0.00,FEW
LAX,2026-01-06 13:53,54.00,51.00,8.00,70.00,30.07,0.00,FEW
LAX,2026-01-06 14:53,53.00,50.00,6.00,90.00,30.10,0.00,FEW
LAX,2026-01-06 15:53,54.00,51.00,4.00,70.00,30.09,0.00,FEW
LAX,2026-01-06 16:53,57.00,50.00,7.00,60.00,30.10,0.00,FEW
LAX,2026-01-06 17:53,58.00,51.00,5.00,30.00,30.10,0.00,FEW
LAX,2026-01-06 18:53,60.00,51.00,6.00,40.00,30.08,0.00,FEW
LAX,2026-01-06 19:53,62.00,52.00,4.00,50.00,30.04,0.00,FEW
LAX,2026-01-06 20:53,63.00,51.00,5.00,190.00,30.03,0.00,FEW
LAX,2026-01-06 21:53,65.00,51.00,0.00,0.00,30.00,0.00,FEW
LAX,2026-01-06 22:53,63.00,52.00,6.00,260.00,30.00,0.00,FEW
LAX,2026-01-06 23:53,65.00,50.00,0.00,0.00,29.99,0.00,FEW
LAX,2026-01-07 00:53,61.00,53.00,7.00,260.00,29.99,0.00,FEW
LAX,2026-01-07 01:53,60.00,53.00,5.00,250.00,30.00,0.00,FEW
LAX,2026-01-07 02:53,59.00,51.00,5.00,260.00,30.02,0.00,FEW
LAX,2026-01-07 03:53,59.00,52.00,0.00,0.00,30.01,0.00,FEW
LAX,2026-01-07 04:53,60.00,53.00,3.00,210.00,30.01,0.00,FEW
LAX,2026-01-07 05:53,61.00,52.00,5.00,330.00,30.01,0.00,FEW
LAX,2026-01-07 06:53,59.00,50.00,3.00,null,29.99,0.00,FEW
LAX,2026-01-07 07:53,58.00,50.00,0.00,0.00,29.98,0.00,FEW
LAX,2026-01-07 08:53,56.00,50.00,0.00,0.00,29.97,0.00,FEW
LAX,2026-01-07 09:53,54.00,49.00,0.00,0.00,29.97,0.00,FEW
LAX,2026-01-07 10:53,52.00,49.00,5.00,90.00,29.97,0.00,FEW
LAX,2026-01-07 11:53,54.00,48.00,3.00,20.00,29.96,0.00,FEW
LAX,2026-01-07 12:53,55.00,47.00,0.00,0.00,29.96,0.00,FEW
LAX,2026-01-07 13:53,53.00,47.00,4.00,100.00,29.94,0.00,FEW
LAX,2026-01-07 14:53,54.00,46.00,3.00,360.00,29.95,0.00,FEW
LAX,2026-01-07 15:53,55.00,46.00,3.00,80.00,29.96,0.00,FEW
LAX,2026-01-07 16:53,59.00,48.00,3.00,310.00,29.97,0.00,FEW
LAX,2026-01-07 17:53,62.00,52.00,7.00,260.00,29.98,0.00,FEW
LAX,2026-01-07 18:53,63.00,52.00,8.00,260.00,29.96,0.00,FEW
LAX,2026-01-07 19:53,64.00,54.00,9.00,230.00,29.92,0.00,FEW
LAX,2026-01-07 20:53,64.00,52.00,12.00,240.00,29.91,0.00,FEW
LAX,2026-01-07 21:53,64.00,48.00,13.00,250.00,29.89,0.00,FEW
LAX,2026-01-07 22:53,63.00,50.00,14.00,260.00,29.89,0.00,FEW
LAX,2026-01-07 23:53,62.00,52.00,17.00,260.00,29.90,0.00,FEW
LAX,2026-01-08 00:53,60.00,53.00,12.00,260.00,29.91,0.00,FEW
LAX,2026-01-08 01:53,61.00,47.00,5.00,320.00,29.91,0.00,CLR
LAX,2026-01-08 02:53,62.00,38.00,9.00,330.00,29.93,0.00,CLR
LAX,2026-01-08 03:53,60.00,38.00,8.00,360.00,29.94,0.00,CLR
LAX,2026-01-08 04:53,60.00,39.00,8.00,340.00,29.96,0.00,CLR
LAX,2026-01-08 05:53,61.00,39.00,11.00,330.00,29.97,0.00,CLR
LAX,2026-01-08 06:53,60.00,39.00,8.00,340.00,29.99,0.00,CLR
LAX,2026-01-08 07:53,60.00,39.00,7.00,330.00,29.99,0.00,CLR
LAX,2026-01-08 08:53,58.00,39.00,7.00,310.00,30.01,0.00,CLR
LAX,2026-01-08 09:53,55.00,39.00,0.00,0.00,30.01,0.00,CLR
LAX,2026-01-08 10:53,53.00,40.00,4.00,50.00,30.03,0.00,CLR
LAX,2026-01-08 11:53,53.00,44.00,0.00,0.00,30.01,0.00,FEW
LAX,2026-01-08 12:53,51.00,46.00,0.00,0.00,30.01,0.00,FEW
LAX,2026-01-08 13:53,49.00,45.00,3.00,80.00,30.02,0.00,FEW
LAX,2026-01-08 14:53,50.00,43.00,3.00,40.00,30.04,0.00,FEW
LAX,2026-01-08 15:53,53.00,43.00,0.00,0.00,30.04,0.00,FEW
LAX,2026-01-08 16:53,57.00,38.00,9.00,330.00,30.06,0.00,FEW
LAX,2026-01-08 17:53,59.00,38.00,7.00,330.00,30.07,0.00,FEW
LAX,2026-01-08 18:53,60.00,37.00,7.00,260.00,30.06,0.00,FEW
LAX,2026-01-08 19:53,62.00,36.00,8.00,320.00,30.04,0.00,FEW
LAX,2026-01-08 20:53,62.00,33.00,11.00,340.00,30.02,0.00,FEW
LAX,2026-01-08 21:53,62.00,32.00,17.00,310.00,30.01,0.00,FEW
LAX,2026-01-08 22:53,62.00,30.00,21.00,310.00,30.00,0.00,FEW
LAX,2026-01-08 23:53,61.00,30.00,13.00,320.00,30.02,0.00,FEW
LAX,2026-01-09 00:53,59.00,30.00,13.00,330.00,30.03,0.00,FEW
LAX,2026-01-09 01:53,57.00,28.00,11.00,290.00,30.07,0.00,CLR
LAX,2026-01-09 02:53,56.00,28.00,11.00,320.00,30.10,0.00,CLR
LAX,2026-01-09 03:53,55.00,27.00,12.00,330.00,30.12,0.00,CLR
LAX,2026-01-09 04:53,55.00,25.00,9.00,340.00,30.12,0.00,CLR
LAX,2026-01-09 05:53,54.00,25.00,8.00,320.00,30.15,0.00,CLR
LAX,2026-01-09 06:53,54.00,24.00,7.00,320.00,30.17,0.00,CLR
LAX,2026-01-09 07:53,51.00,25.00,6.00,90.00,30.19,0.00,CLR
LAX,2026-01-09 08:53,51.00,30.00,6.00,50.00,30.21,0.00,CLR
LAX,2026-01-09 09:53,50.00,30.00,0.00,0.00,30.22,0.00,CLR
LAX,2026-01-09 10:53,51.00,27.00,0.00,0.00,30.23,0.00,CLR
LAX,2026-01-09 11:53,51.00,27.00,4.00,190.00,30.24,0.00,CLR
LAX,2026-01-09 12:53,49.00,20.00,4.00,160.00,30.25,0.00,FEW
LAX,2026-01-09 13:53,46.00,26.00,0.00,0.00,30.28,0.00,FEW
LAX,2026-01-09 14:53,46.00,28.00,0.00,0.00,30.30,0.00,FEW
LAX,2026-01-09 15:53,48.00,27.00,3.00,null,30.32,0.00,FEW
LAX,2026-01-09 16:53,53.00,27.00,3.00,null,30.33,0.00,FEW
LAX,2026-01-09 17:53,57.00,18.00,6.00,140.00,30.34,0.00,FEW
LAX,2026-01-09 18:53,60.00,19.00,6.00,150.00,30.33,0.00,FEW
LAX,2026-01-09 19:53,61.00,27.00,7.00,240.00,30.31,0.00,FEW
LAX,2026-01-09 20:53,61.00,29.00,7.00,240.00,30.30,0.00,FEW
LAX,2026-01-09 21:53,62.00,28.00,6.00,180.00,30.30,0.00,FEW
LAX,2026-01-09 22:53,62.00,29.00,5.00,210.00,30.31,0.00,FEW
LAX,2026-01-09 23:53,60.00,32.00,7.00,240.00,30.32,0.00,FEW
LAX,2026-01-10 00:53,59.00,29.00,4.00,270.00,30.33,0.00,FEW
LAX,2026-01-10 01:53,58.00,35.00,5.00,290.00,30.34,0.00,CLR
LAX,2026-01-10 02:53,57.00,40.00,4.00,240.00,30.35,0.00,CLR
LAX,2026-01-10 03:53,57.00,39.00,0.00,0.00,30.36,0.00,CLR
LAX,2026-01-10 04:53,54.00,39.00,3.00,360.00,30.37,0.00,CLR
LAX,2026-01-10 05:53,52.00,40.00,4.00,50.00,30.39,0.00,CLR
LAX,2026-01-10 06:53,49.00,38.00,3.00,70.00,30.40,0.00,CLR
LAX,2026-01-10 07:53,51.00,36.00,6.00,100.00,30.39,0.00,CLR
LAX,2026-01-10 08:53,51.00,34.00,0.00,0.00,30.40,0.00,CLR
LAX,2026-01-10 09:53,46.00,34.00,4.00,110.00,30.40,0.00,CLR
LAX,2026-01-10 10:53,47.00,34.00,3.00,50.00,30.40,0.00,CLR
LAX,2026-01-10 11:53,47.00,31.00,0.00,0.00,30.39,0.00,CLR
LAX,2026-01-10 12:53,44.00,32.00,0.00,0.00,30.39,0.00,CLR
LAX,2026-01-10 13:53,46.00,29.00,3.00,120.00,30.40,0.00,CLR
LAX,2026-01-10 14:53,45.00,29.00,3.00,350.00,30.40,0.00,CLR
LAX,2026-01-10 15:53,48.00,30.00,4.00,90.00,30.40,0.00,FEW
LAX,2026-01-10 16:53,51.00,32.00,4.00,110.00,30.41,0.00,FEW
LAX,2026-01-10 17:53,58.00,31.00,6.00,110.00,30.41,0.00,FEW
LAX,2026-01-10 18:53,64.00,26.00,0.00,0.00,30.39,0.00,FEW
LAX,2026-01-10 19:53,67.00,23.00,0.00,0.00,30.34,0.00,FEW
LAX,2026-01-10 20:53,67.00,32.00,9.00,250.00,30.31,0.00,FEW
LAX,2026-01-10 21:53,66.00,33.00,7.00,240.00,30.29,0.00,SCT
LAX,2026-01-10 22:53,68.00,35.00,5.00,260.00,30.28,0.00,SCT
LAX,2026-01-10 23:53,70.00,27.00,0.00,0.00,30.27,0.00,SCT
LAX,2026-01-11 00:53,66.00,30.00,5.00,280.00,30.27,0.00,SCT
LAX,2026-01-11 01:53,64.00,29.00,0.00,0.00,30.28,0.00,FEW
LAX,2026-01-11 02:53,61.00,30.00,4.00,350.00,30.28,0.00,FEW
LAX,2026-01-11 03:53,62.00,21.00,8.00,340.00,30.28,0.00,FEW
LAX,2026-01-11 04:53,58.00,25.00,0.00,0.00,30.29,0.00,CLR
LAX,2026-01-11 05:53,57.00,25.00,0.00,0.00,30.29,0.00,CLR
LAX,2026-01-11 06:53,58.00,28.00,0.00,0.00,30.28,0.00,CLR
LAX,2026-01-11 07:53,59.00,26.00,5.00,null,30.27,0.00,CLR
LAX,2026-01-11 08:53,56.00,26.00,4.00,null,30.26,0.00,CLR
LAX,2026-01-11 09:53,52.00,27.00,0.00,0.00,30.26,0.00,CLR
LAX,2026-01-11 10:53,52.00,25.00,3.00,30.00,30.25,0.00,CLR
LAX,2026-01-11 11:53,54.00,24.00,8.00,350.00,30.23,0.00,CLR
LAX,2026-01-11 12:53,45.00,28.00,4.00,60.00,30.22,0.00,CLR
LAX,2026-01-11 13:53,50.00,27.00,3.00,90.00,30.23,0.00,CLR
LAX,2026-01-11 14:53,48.00,28.00,4.00,40.00,30.24,0.00,FEW
LAX,2026-01-11 15:53,53.00,28.00,0.00,0.00,30.24,0.00,FEW
LAX,2026-01-11 16:53,62.00,26.00,6.00,10.00,30.25,0.00,FEW
LAX,2026-01-11 17:53,65.00,29.00,6.00,40.00,30.25,0.00,FEW
LAX,2026-01-11 18:53,68.00,25.00,4.00,70.00,30.23,0.00,FEW
LAX,2026-01-11 19:53,71.00,26.00,3.00,80.00,30.20,0.00,FEW
LAX,2026-01-11 20:53,74.00,31.00,0.00,0.00,30.18,0.00,FEW
LAX,2026-01-11 21:53,73.00,32.00,10.00,270.00,30.16,0.00,FEW
LAX,2026-01-11 22:53,69.00,39.00,10.00,260.00,30.15,0.00,FEW
LAX,2026-01-11 23:53,66.00,36.00,9.00,260.00,30.16,0.00,FEW
LAX,2026-01-12 00:53,65.00,36.00,4.00,290.00,30.16,0.00,FEW
LAX,2026-01-12 01:53,64.00,38.00,0.00,0.00,30.17,0.00,FEW
LAX,2026-01-12 02:53,64.00,35.00,5.00,90.00,30.18,0.00,CLR
LAX,2026-01-12 03:53,64.00,33.00,5.00,80.00,30.19,0.00,CLR
LAX,2026-01-12 04:53,63.00,29.00,5.00,null,30.19,0.00,CLR
LAX,2026-01-12 05:53,64.00,24.00,6.00,290.00,30.20,0.00,CLR
LAX,2026-01-12 06:53,65.00,24.00,4.00,null,30.20,0.00,FEW
LAX,2026-01-12 07:53,56.00,31.00,3.00,null,30.21,0.00,FEW
LAX,2026-01-12 08:53,57.00,31.00,3.00,350.00,30.21,0.00,FEW
LAX,2026-01-12 09:53,56.00,30.00,5.00,10.00,30.21,0.00,FEW
LAX,2026-01-12 10:53,52.00,32.00,0.00,0.00,30.21,0.00,FEW
LAX,2026-01-12 11:53,52.00,31.00,3.00,70.00,30.20,0.00,FEW
LAX,2026-01-12 12:53,48.00,33.00,3.00,100.00,30.20,0.00,FEW
LAX,2026-01-12 13:53,50.00,33.00,0.00,0.00,30.20,0.00,FEW
LAX,2026-01-12 14:53,50.00,33.00,4.00,80.00,30.21,0.00,FEW
LAX,2026-01-12 15:53,53.00,34.00,3.00,60.00,30.22,0.00,FEW
LAX,2026-01-12 16:53,58.00,34.00,4.00,80.00,30.24,0.00,FEW
LAX,2026-01-12 17:53,64.00,36.00,0.00,0.00,30.23,0.00,FEW
LAX,2026-01-12 18:53,68.00,31.00,0.00,0.00,30.21,0.00,FEW
LAX,2026-01-12 19:53,72.00,33.00,3.00,290.00,30.17,0.00,FEW
LAX,2026-01-12 20:53,71.00,32.00,6.00,260.00,30.15,0.00,FEW
LAX,2026-01-12 21:53,70.00,33.00,6.00,260.00,30.14,0.00,FEW
LAX,2026-01-12 22:53,70.00,31.00,6.00,230.00,30.13,0.00,FEW
LAX,2026-01-12 23:53,68.00,29.00,6.00,250.00,30.13,0.00,FEW
LAX,2026-01-13 00:53,64.00,31.00,5.00,260.00,30.13,0.00,FEW
LAX,2026-01-13 01:53,64.00,36.00,3.00,350.00,30.15,0.00,FEW
LAX,2026-01-13 02:53,64.00,33.00,3.00,340.00,30.15,0.00,CLR
LAX,2026-01-13 03:53,60.00,35.00,0.00,0.00,30.16,0.00,CLR
LAX,2026-01-13 04:53,60.00,34.00,3.00,140.00,30.17,0.00,CLR
LAX,2026-01-13 05:53,59.00,35.00,0.00,0.00,30.18,0.00,CLR
LAX,2026-01-13 06:53,59.00,36.00,0.00,0.00,30.18,0.00,CLR
LAX,2026-01-13 07:53,56.00,37.00,0.00,0.00,30.18,0.00,CLR
LAX,2026-01-13 08:53,54.00,37.00,3.00,350.00,30.17,0.00,CLR
LAX,2026-01-13 09:53,54.00,37.00,0.00,0.00,30.17,0.00,CLR
LAX,2026-01-13 10:53,53.00,36.00,0.00,0.00,30.17,0.00,CLR
LAX,2026-01-13 11:53,49.00,37.00,0.00,0.00,30.16,0.00,CLR
LAX,2026-01-13 12:53,48.00,36.00,0.00,0.00,30.17,0.00,CLR
LAX,2026-01-13 13:53,50.00,36.00,3.00,70.00,30.18,0.00,CLR
LAX,2026-01-13 14:53,52.00,31.00,5.00,90.00,30.19,0.00,CLR
LAX,2026-01-13 15:53,56.00,32.00,0.00,0.00,30.20,0.00,CLR
LAX,2026-01-13 16:53,63.00,33.00,3.00,360.00,30.20,0.00,CLR
LAX,2026-01-13 17:53,69.00,33.00,3.00,340.00,30.21,0.00,CLR
LAX,2026-01-13 18:53,74.00,32.00,0.00,0.00,30.20,0.00,FEW
LAX,2026-01-13 19:53,77.00,29.00,6.00,290.00,30.17,0.00,FEW
LAX,2026-01-13 20:53,79.00,31.00,9.00,260.00,30.15,0.00,FEW
LAX,2026-01-13 21:53,77.00,28.00,9.00,230.00,30.13,0.00,FEW
LAX,2026-01-13 22:53,70.00,47.00,10.00,250.00,30.13,0.00,FEW
LAX,2026-01-13 23:53,71.00,42.00,8.00,260.00,30.13,0.00,FEW
LAX,2026-01-14 00:53,67.00,46.00,6.00,230.00,30.13,0.00,FEW
LAX,2026-01-14 01:53,66.00,45.00,0.00,0.00,30.14,0.00,FEW
LAX,2026-01-14 02:53,65.00,48.00,0.00,0.00,30.14,0.00,CLR
LAX,2026-01-14 03:53,64.00,49.00,3.00,180.00,30.15,0.00,CLR
LAX,2026-01-14 04:53,63.00,49.00,0.00,0.00,30.15,0.00,CLR
LAX,2026-01-14 05:53,61.00,48.00,0.00,0.00,30.16,0.00,CLR
LAX,2026-01-14 06:53,61.00,46.00,0.00,0.00,30.16,0.00,CLR
LAX,2026-01-14 07:53,57.00,43.00,4.00,90.00,30.16,0.00,CLR
LAX,2026-01-14 08:53,57.00,42.00,3.00,40.00,30.15,0.00,CLR
LAX,2026-01-14 09:53,54.00,42.00,5.00,120.00,30.16,0.00,CLR
LAX,2026-01-14 10:53,51.00,44.00,0.00,0.00,30.16,0.00,CLR
LAX,2026-01-14 11:53,53.00,43.00,0.00,0.00,30.13,0.00,CLR
LAX,2026-01-14 12:53,54.00,43.00,3.00,70.00,30.12,0.00,CLR
