station,valid,tmpf,dwpf,sknt,drct,alti,p01i,vsby,skyc1
LGA,2026-01-03 01:51,28.00,11.00,11.00,300.00,29.84,0.00,10.00,BKN
LGA,2026-01-03 02:51,28.00,10.00,12.00,300.00,29.85,0.00,10.00,FEW
LGA,2026-01-03 03:51,28.00,6.00,14.00,300.00,29.87,0.00,10.00,SCT
LGA,2026-01-03 04:51,27.00,6.00,15.00,310.00,29.88,0.00,10.00,FEW
LGA,2026-01-03 05:51,27.00,4.00,13.00,290.00,29.88,0.00,10.00,FEW
LGA,2026-01-03 06:51,26.00,5.00,13.00,310.00,29.89,0.00,10.00,FEW
LGA,2026-01-03 07:51,26.00,4.00,12.00,300.00,29.90,0.00,10.00,FEW
LGA,2026-01-03 08:51,25.00,3.00,13.00,290.00,29.91,0.00,10.00,FEW
LGA,2026-01-03 09:51,25.00,3.00,15.00,290.00,29.91,0.00,10.00,CLR
LGA,2026-01-03 10:51,25.00,4.00,12.00,290.00,29.93,0.00,10.00,FEW
LGA,2026-01-03 11:51,24.00,4.00,11.00,280.00,29.95,0.00,10.00,FEW
LGA,2026-01-03 12:51,24.00,4.00,14.00,290.00,29.96,0.00,10.00,FEW
LGA,2026-01-03 13:51,25.00,4.00,12.00,310.00,29.99,0.00,10.00,FEW
LGA,2026-01-03 14:51,26.00,5.00,13.00,320.00,29.99,0.00,10.00,SCT
LGA,2026-01-03 15:51,27.00,4.00,10.00,310.00,29.99,0.00,10.00,FEW
LGA,2026-01-03 16:51,28.00,6.00,10.00,330.00,29.98,0.00,10.00,FEW
LGA,2026-01-03 17:51,28.00,6.00,9.00,310.00,29.98,0.00,10.00,FEW
LGA,2026-01-03 18:51,29.00,7.00,13.00,320.00,29.97,0.00,10.00,FEW
LGA,2026-01-03 19:51,30.00,7.00,9.00,310.00,29.95,0.00,10.00,FEW
LGA,2026-01-03 20:51,30.00,8.00,8.00,330.00,29.96,0.00,10.00,FEW
LGA,2026-01-03 21:51,30.00,9.00,6.00,330.00,29.98,0.00,10.00,FEW
LGA,2026-01-03 22:51,30.00,9.00,5.00,320.00,29.99,0.00,10.00,FEW
LGA,2026-01-03 23:51,30.00,8.00,5.00,320.00,30.00,0.00,10.00,FEW
LGA,2026-01-04 00:51,31.00,8.00,5.00,320.00,29.99,0.00,10.00,FEW
LGA,2026-01-04 01:51,30.00,9.00,7.00,320.00,29.99,0.00,10.00,SCT
LGA,2026-01-04 02:51,30.00,10.00,9.00,310.00,29.99,0.00,10.00,FEW
LGA,2026-01-04 03:51,29.00,10.00,8.00,340.00,29.99,0.00,10.00,SCT
LGA,2026-01-04 04:51,29.00,10.00,6.00,310.00,29.98,0.00,10.00,BKN
LGA,2026-01-04 05:51,29.00,9.00,8.00,330.00,29.98,0.00,10.00,BKN
LGA,2026-01-04 06:51,29.00,10.00,8.00,320.00,29.99,0.00,10.00,BKN
LGA,2026-01-04 07:51,29.00,10.00,8.00,330.00,29.99,0.00,10.00,BKN
LGA,2026-01-04 08:51,28.00,11.00,11.00,330.00,30.00,0.00,10.00,BKN
LGA,2026-01-04 09:51,27.00,13.00,10.00,320.00,30.00,T,10.00,BKN
LGA,2026-01-04 10:51,26.00,14.00,8.00,330.00,30.02,T,9.00,FEW
LGA,2026-01-04 11:51,26.00,16.00,7.00,350.00,30.04,T,9.00,FEW
LGA,2026-01-04 12:51,26.00,18.00,8.00,340.00,30.05,T,9.00,FEW
LGA,2026-01-04 13:51,27.00,19.00,5.00,350.00,30.07,T,10.00,FEW
LGA,2026-01-04 14:51,29.00,19.00,0.00,0.00,30.08,0.00,10.00,FEW
LGA,2026-01-04 15:51,32.00,19.00,0.00,0.00,30.08,0.00,10.00,SCT
LGA,2026-01-04 16:51,32.00,18.00,0.00,0.00,30.05,0.00,10.00,SCT
LGA,2026-01-04 17:51,34.00,14.00,8.00,300.00,30.05,0.00,10.00,SCT
LGA,2026-01-04 18:51,34.00,14.00,13.00,330.00,30.06,0.00,10.00,SCT
LGA,2026-01-04 19:51,34.00,14.00,12.00,330.00,30.07,0.00,10.00,SCT
LGA,2026-01-04 20:51,32.00,14.00,12.00,300.00,30.09,0.00,10.00,BKN
LGA,2026-01-04 21:51,32.00,13.00,13.00,290.00,30.11,0.00,10.00,BKN
LGA,2026-01-04 22:51,32.00,13.00,8.00,310.00,30.12,0.00,10.00,SCT
LGA,2026-01-04 23:51,31.00,12.00,9.00,250.00,30.13,0.00,10.00,SCT
LGA,2026-01-05 00:51,32.00,13.00,10.00,260.00,30.14,0.00,10.00,SCT
LGA,2026-01-05 01:51,32.00,13.00,10.00,250.00,30.15,0.00,10.00,BKN
LGA,2026-01-05 02:51,32.00,13.00,9.00,260.00,30.16,0.00,10.00,SCT
LGA,2026-01-05 03:51,32.00,14.00,10.00,280.00,30.16,0.00,10.00,BKN
LGA,2026-01-05 04:51,32.00,13.00,10.00,270.00,30.18,0.00,10.00,BKN
LGA,2026-01-05 05:51,32.00,13.00,10.00,300.00,30.18,0.00,10.00,BKN
LGA,2026-01-05 06:51,32.00,13.00,11.00,290.00,30.18,0.00,10.00,SCT
LGA,2026-01-05 07:51,31.00,13.00,6.00,290.00,30.19,0.00,10.00,FEW
LGA,2026-01-05 08:51,31.00,13.00,6.00,300.00,30.19,0.00,10.00,FEW
LGA,2026-01-05 09:51,31.00,12.00,7.00,300.00,30.21,0.00,10.00,FEW
LGA,2026-01-05 10:51,31.00,12.00,7.00,310.00,30.22,0.00,10.00,FEW
LGA,2026-01-05 11:51,30.00,13.00,5.00,310.00,30.23,0.00,10.00,FEW
LGA,2026-01-05 12:51,31.00,13.00,3.00,290.00,30.23,0.00,10.00,FEW
LGA,2026-01-05 13:51,30.00,17.00,5.00,80.00,30.23,0.00,10.00,FEW
LGA,2026-01-05 14:51,31.00,15.00,5.00,140.00,30.24,0.00,10.00,OVC
LGA,2026-01-05 15:51,33.00,13.00,8.00,190.00,30.22,0.00,10.00,FEW
LGA,2026-01-05 16:51,33.00,15.00,10.00,190.00,30.18,0.00,10.00,FEW
LGA,2026-01-05 17:51,34.00,15.00,8.00,170.00,30.15,0.00,10.00,FEW
LGA,2026-01-05 18:51,34.00,13.00,12.00,190.00,30.14,T,9.00,FEW
LGA,2026-01-05 19:51,34.00,16.00,10.00,170.00,30.13,T,10.00,FEW
LGA,2026-01-05 20:51,34.00,17.00,12.00,170.00,30.10,0.00,10.00,FEW
LGA,2026-01-05 21:51,35.00,20.00,9.00,180.00,30.08,0.00,10.00,BKN
LGA,2026-01-05 22:51,36.00,21.00,13.00,200.00,30.08,T,10.00,BKN
LGA,2026-01-05 23:51,36.00,19.00,8.00,210.00,30.06,0.00,10.00,BKN
LGA,2026-01-06 00:51,37.00,21.00,8.00,210.00,30.05,0.00,10.00,BKN
LGA,2026-01-06 01:51,37.00,23.00,10.00,210.00,30.04,0.00,10.00,BKN
LGA,2026-01-06 02:51,37.00,24.00,5.00,220.00,30.03,0.00,10.00,BKN
LGA,2026-01-06 03:51,38.00,25.00,8.00,210.00,30.01,0.00,10.00,OVC
LGA,2026-01-06 04:51,38.00,26.00,9.00,200.00,29.99,0.00,10.00,FEW
LGA,2026-01-06 05:51,38.00,27.00,6.00,220.00,29.97,0.00,10.00,OVC
LGA,2026-01-06 06:51,38.00,27.00,3.00,330.00,29.98,0.00,10.00,OVC
LGA,2026-01-06 07:51,37.00,27.00,5.00,310.00,29.97,0.00,10.00,BKN
LGA,2026-01-06 08:51,37.00,25.00,4.00,300.00,29.97,0.00,10.00,SCT
LGA,2026-01-06 09:51,37.00,25.00,0.00,0.00,29.97,0.00,10.00,FEW
LGA,2026-01-06 10:51,35.00,24.00,0.00,0.00,29.98,0.00,10.00,BKN
LGA,2026-01-06 11:51,36.00,25.00,4.00,110.00,29.98,0.00,10.00,FEW
LGA,2026-01-06 12:51,38.00,26.00,0.00,0.00,29.98,0.00,9.00,FEW
LGA,2026-01-06 13:51,37.00,28.00,5.00,40.00,29.98,0.00,9.00,FEW
LGA,2026-01-06 14:51,38.00,29.00,6.00,40.00,29.99,0.00,9.00,FEW
LGA,2026-01-06 15:51,37.00,27.00,7.00,60.00,29.96,0.00,9.00,FEW
LGA,2026-01-06 16:51,37.00,28.00,7.00,40.00,29.93,0.00,8.00,FEW
LGA,2026-01-06 17:51,39.00,28.00,6.00,50.00,29.91,0.00,9.00,FEW
LGA,2026-01-06 18:51,39.00,28.00,9.00,50.00,29.89,0.00,9.00,FEW
LGA,2026-01-06 19:51,38.00,28.00,12.00,40.00,29.88,0.00,9.00,FEW
LGA,2026-01-06 20:51,39.00,29.00,10.00,50.00,29.86,0.00,9.00,FEW
LGA,2026-01-06 21:51,38.00,29.00,9.00,50.00,29.84,0.00,9.00,FEW
LGA,2026-01-06 22:51,38.00,30.00,9.00,60.00,29.82,0.00,10.00,BKN
LGA,2026-01-06 23:51,38.00,30.00,11.00,40.00,29.82,0.00,9.00,OVC
LGA,2026-01-07 00:51,37.00,31.00,11.00,50.00,29.81,0.00,8.00,OVC
LGA,2026-01-07 01:51,37.00,32.00,9.00,50.00,29.77,0.01,2.00,OVC
LGA,2026-01-07 02:51,37.00,33.00,9.00,50.00,29.75,T,2.00,OVC
LGA,2026-01-07 03:51,37.00,33.00,10.00,50.00,29.72,T,2.00,OVC
LGA,2026-01-07 04:51,37.00,34.00,5.00,40.00,29.69,T,1.00,OVC
LGA,2026-01-07 05:51,37.00,34.00,11.00,50.00,29.67,T,0.50,OVC
LGA,2026-01-07 06:51,37.00,34.00,10.00,40.00,29.66,0.01,0.50,OVC
LGA,2026-01-07 07:51,36.00,33.00,10.00,40.00,29.66,T,0.25,OVC
LGA,2026-01-07 08:51,36.00,33.00,7.00,50.00,29.64,0.00,0.25,OVC
LGA,2026-01-07 09:51,36.00,33.00,6.00,40.00,29.63,0.00,0.25,OVC
LGA,2026-01-07 10:51,36.00,33.00,6.00,60.00,29.64,0.00,0.25,VV 
LGA,2026-01-07 11:51,36.00,34.00,0.00,0.00,29.66,0.00,0.25,VV 
LGA,2026-01-07 12:51,37.00,36.00,0.00,0.00,29.68,0.00,0.25,OVC
LGA,2026-01-07 13:51,44.00,39.00,7.00,270.00,29.68,0.00,6.00,FEW
LGA,2026-01-07 14:51,45.00,37.00,10.00,290.00,29.69,0.00,9.00,FEW
LGA,2026-01-07 15:51,47.00,36.00,7.00,290.00,29.70,0.00,10.00,BKN
LGA,2026-01-07 16:51,47.00,34.00,15.00,310.00,29.71,0.00,10.00,BKN
LGA,2026-01-07 17:51,47.00,31.00,17.00,310.00,29.73,0.00,10.00,BKN
LGA,2026-01-07 18:51,47.00,32.00,15.00,300.00,29.74,0.00,10.00,BKN
LGA,2026-01-07 19:51,48.00,32.00,16.00,290.00,29.77,0.00,10.00,BKN
LGA,2026-01-07 20:51,46.00,31.00,14.00,300.00,29.81,0.00,10.00,FEW
LGA,2026-01-07 21:51,47.00,32.00,15.00,300.00,29.85,0.00,10.00,BKN
LGA,2026-01-07 22:51,45.00,31.00,15.00,320.00,29.88,0.00,10.00,BKN
LGA,2026-01-07 23:51,44.00,31.00,15.00,310.00,29.91,0.00,10.00,BKN
LGA,2026-01-08 00:51,44.00,31.00,13.00,300.00,29.94,0.00,10.00,BKN
LGA,2026-01-08 01:51,43.00,31.00,12.00,310.00,29.97,0.00,10.00,BKN
LGA,2026-01-08 02:51,43.00,31.00,11.00,320.00,29.99,0.00,10.00,BKN
LGA,2026-01-08 03:51,43.00,31.00,12.00,300.00,29.98,0.00,10.00,FEW
LGA,2026-01-08 04:51,42.00,31.00,9.00,310.00,29.98,0.00,10.00,FEW
LGA,2026-01-08 05:51,42.00,31.00,9.00,330.00,29.99,0.00,10.00,FEW
LGA,2026-01-08 06:51,41.00,31.00,7.00,300.00,30.03,0.00,10.00,SCT
LGA,2026-01-08 07:51,43.00,31.00,13.00,320.00,30.06,0.00,10.00,BKN
LGA,2026-01-08 08:51,42.00,31.00,9.00,310.00,30.07,0.00,10.00,BKN
LGA,2026-01-08 09:51,42.00,31.00,9.00,320.00,30.08,0.00,10.00,BKN
LGA,2026-01-08 10:51,43.00,31.00,15.00,310.00,30.10,0.00,10.00,OVC
LGA,2026-01-08 11:51,43.00,31.00,9.00,320.00,30.12,0.00,10.00,FEW
LGA,2026-01-08 12:51,42.00,32.00,7.00,310.00,30.14,0.00,10.00,FEW
LGA,2026-01-08 13:51,44.00,32.00,9.00,300.00,30.16,0.00,10.00,CLR
LGA,2026-01-08 14:51,45.00,31.00,11.00,300.00,30.19,0.00,10.00,CLR
LGA,2026-01-08 15:51,47.00,30.00,10.00,320.00,30.20,0.00,10.00,FEW
LGA,2026-01-08 16:51,48.00,31.00,9.00,310.00,30.20,0.00,10.00,FEW
LGA,2026-01-08 17:51,49.00,30.00,7.00,320.00,30.19,0.00,10.00,FEW
LGA,2026-01-08 18:51,49.00,29.00,7.00,300.00,30.19,0.00,10.00,FEW
LGA,2026-01-08 19:51,49.00,29.00,6.00,320.00,30.20,0.00,10.00,FEW
LGA,2026-01-08 20:51,48.00,29.00,6.00,340.00,30.21,0.00,10.00,FEW
LGA,2026-01-08 21:51,47.00,29.00,4.00,320.00,30.23,0.00,10.00,BKN
LGA,2026-01-08 22:51,46.00,28.00,0.00,0.00,30.25,0.00,10.00,BKN
LGA,2026-01-08 23:51,47.00,28.00,4.00,50.00,30.28,0.00,10.00,BKN
LGA,2026-01-09 00:51,45.00,28.00,4.00,90.00,30.28,0.00,10.00,SCT
LGA,2026-01-09 01:51,42.00,27.00,0.00,0.00,30.29,0.00,10.00,SCT
LGA,2026-01-09 02:51,42.00,28.00,0.00,0.00,30.29,0.00,10.00,SCT
LGA,2026-01-09 03:51,40.00,28.00,3.00,100.00,30.29,0.00,10.00,FEW
LGA,2026-01-09 04:51,38.00,30.00,7.00,60.00,30.28,0.00,10.00,FEW
LGA,2026-01-09 05:51,36.00,29.00,5.00,60.00,30.29,0.00,10.00,FEW
LGA,2026-01-09 06:51,36.00,30.00,5.00,50.00,30.29,0.00,10.00,FEW
LGA,2026-01-09 07:51,36.00,30.00,0.00,0.00,30.29,0.00,10.00,BKN
LGA,2026-01-09 08:51,35.00,31.00,5.00,80.00,30.31,0.00,10.00,BKN
LGA,2026-01-09 09:51,35.00,30.00,3.00,80.00,30.31,0.00,10.00,SCT
LGA,2026-01-09 10:51,36.00,31.00,5.00,90.00,30.30,0.00,10.00,SCT
LGA,2026-01-09 11:51,40.00,35.00,5.00,140.00,30.29,0.00,10.00,FEW
LGA,2026-01-09 12:51,40.00,35.00,5.00,M,30.29,0.00,10.00,FEW
LGA,2026-01-09 13:51,43.00,39.00,7.00,180.00,30.28,0.00,10.00,FEW
LGA,2026-01-09 14:51,46.00,39.00,11.00,170.00,30.26,0.00,10.00,FEW
LGA,2026-01-09 15:51,48.00,39.00,12.00,180.00,30.25,0.00,10.00,BKN
LGA,2026-01-09 16:51,48.00,39.00,15.00,180.00,30.21,0.00,10.00,BKN
LGA,2026-01-09 17:51,47.00,39.00,16.00,180.00,30.17,0.00,10.00,BKN
LGA,2026-01-09 18:51,47.00,40.00,12.00,170.00,30.13,0.00,10.00,BKN
LGA,2026-01-09 19:51,47.00,40.00,14.00,180.00,30.12,0.00,10.00,FEW
LGA,2026-01-09 20:51,47.00,40.00,11.00,180.00,30.10,0.00,10.00,FEW
LGA,2026-01-09 21:51,47.00,41.00,10.00,180.00,30.07,0.00,10.00,FEW
LGA,2026-01-09 22:51,47.00,42.00,13.00,190.00,30.06,T,10.00,FEW
LGA,2026-01-09 23:51,48.00,43.00,13.00,180.00,30.03,T,9.00,FEW
LGA,2026-01-10 00:51,48.00,44.00,5.00,180.00,30.05,T,10.00,FEW
LGA,2026-01-10 01:51,49.00,44.00,4.00,190.00,30.05,0.00,10.00,FEW
LGA,2026-01-10 02:51,53.00,48.00,7.00,240.00,30.06,0.00,10.00,FEW
LGA,2026-01-10 03:51,53.00,48.00,14.00,270.00,30.09,0.00,10.00,FEW
LGA,2026-01-10 04:51,53.00,47.00,8.00,250.00,30.09,0.00,10.00,SCT
LGA,2026-01-10 05:51,52.00,46.00,11.00,300.00,30.11,0.00,10.00,SCT
LGA,2026-01-10 06:51,51.00,44.00,10.00,280.00,30.11,0.00,10.00,FEW
LGA,2026-01-10 07:51,49.00,42.00,9.00,330.00,30.14,0.00,10.00,BKN
LGA,2026-01-10 08:51,46.00,38.00,9.00,320.00,30.16,0.00,10.00,BKN
LGA,2026-01-10 09:51,47.00,35.00,8.00,330.00,30.17,0.00,10.00,BKN
LGA,2026-01-10 10:51,45.00,33.00,9.00,340.00,30.18,0.00,10.00,BKN
LGA,2026-01-10 11:51,44.00,32.00,6.00,350.00,30.20,0.00,10.00,SCT
LGA,2026-01-10 12:51,43.00,32.00,8.00,20.00,30.20,0.00,10.00,FEW
LGA,2026-01-10 13:51,43.00,30.00,8.00,30.00,30.21,0.00,10.00,FEW
LGA,2026-01-10 14:51,42.00,31.00,6.00,60.00,30.22,0.00,10.00,SCT
LGA,2026-01-10 15:51,42.00,30.00,5.00,50.00,30.21,0.00,10.00,BKN
LGA,2026-01-10 16:51,41.00,30.00,6.00,40.00,30.17,0.00,10.00,BKN
LGA,2026-01-10 17:51,41.00,30.00,8.00,50.00,30.14,T,10.00,FEW
LGA,2026-01-10 18:51,41.00,31.00,7.00,60.00,30.10,0.01,10.00,FEW
LGA,2026-01-10 19:51,40.00,32.00,6.00,50.00,30.10,0.03,8.00,FEW
LGA,2026-01-10 20:51,39.00,33.00,8.00,40.00,30.09,0.07,6.00,FEW
LGA,2026-01-10 21:51,38.00,33.00,11.00,60.00,30.05,0.09,6.00,FEW
LGA,2026-01-10 22:51,38.00,34.00,10.00,50.00,30.02,0.05,8.00,BKN
LGA,2026-01-10 23:51,38.00,35.00,7.00,60.00,29.95,0.03,5.00,OVC
LGA,2026-01-11 00:51,39.00,36.00,8.00,30.00,29.90,0.06,5.00,BKN
LGA,2026-01-11 01:51,39.00,35.00,11.00,50.00,29.86,0.07,4.00,BKN
LGA,2026-01-11 02:51,39.00,36.00,12.00,30.00,29.80,0.01,4.00,OVC
LGA,2026-01-11 03:51,39.00,36.00,11.00,50.00,29.75,0.02,5.00,OVC
LGA,2026-01-11 04:51,39.00,37.00,8.00,20.00,29.74,0.02,4.00,OVC
LGA,2026-01-11 05:51,41.00,38.00,4.00,20.00,29.74,0.01,5.00,OVC
LGA,2026-01-11 06:51,41.00,38.00,6.00,320.00,29.75,T,6.00,OVC
LGA,2026-01-11 07:51,41.00,38.00,5.00,310.00,29.75,0.00,6.00,BKN
LGA,2026-01-11 08:51,42.00,39.00,6.00,330.00,29.74,T,10.00,SCT
LGA,2026-01-11 09:51,43.00,39.00,5.00,270.00,29.80,T,10.00,FEW
LGA,2026-01-11 10:51,43.00,39.00,7.00,270.00,29.81,0.01,10.00,BKN
LGA,2026-01-11 11:51,43.00,38.00,7.00,300.00,29.82,0.00,10.00,SCT
LGA,2026-01-11 12:51,44.00,37.00,10.00,290.00,29.80,0.00,10.00,FEW
LGA,2026-01-11 13:51,44.00,36.00,10.00,300.00,29.81,0.00,10.00,FEW
LGA,2026-01-11 14:51,43.00,32.00,13.00,300.00,29.82,0.00,10.00,FEW
LGA,2026-01-11 15:51,43.00,26.00,14.00,290.00,29.81,0.00,10.00,FEW
LGA,2026-01-11 16:51,44.00,27.00,11.00,310.00,29.76,0.00,10.00,FEW
LGA,2026-01-11 17:51,45.00,24.00,14.00,300.00,29.74,0.00,10.00,FEW
LGA,2026-01-11 18:51,47.00,22.00,16.00,270.00,29.73,0.00,10.00,FEW
LGA,2026-01-11 19:51,46.00,18.00,15.00,270.00,29.75,0.00,10.00,SCT
LGA,2026-01-11 20:51,44.00,18.00,18.00,270.00,29.77,0.00,10.00,SCT
LGA,2026-01-11 21:51,42.00,19.00,15.00,270.00,29.79,0.00,10.00,SCT
LGA,2026-01-11 22:51,38.00,24.00,18.00,290.00,29.85,T,10.00,SCT
LGA,2026-01-11 23:51,37.00,24.00,15.00,290.00,29.86,T,10.00,FEW
LGA,2026-01-12 00:51,38.00,19.00,16.00,290.00,29.88,0.00,10.00,SCT
LGA,2026-01-12 01:51,37.00,16.00,17.00,290.00,29.91,0.00,10.00,FEW
LGA,2026-01-12 02:51,36.00,15.00,16.00,260.00,29.93,0.00,10.00,FEW
LGA,2026-01-12 03:51,35.00,15.00,18.00,290.00,29.96,0.00,10.00,BKN
LGA,2026-01-12 04:51,35.00,14.00,25.00,300.00,29.98,0.00,10.00,BKN
LGA,2026-01-12 05:51,34.00,14.00,14.00,300.00,30.01,0.00,10.00,SCT
LGA,2026-01-12 06:51,33.00,13.00,16.00,300.00,30.04,0.00,10.00,FEW
LGA,2026-01-12 07:51,33.00,13.00,13.00,310.00,30.06,0.00,10.00,FEW
LGA,2026-01-12 08:51,32.00,12.00,14.00,300.00,30.08,0.00,10.00,FEW
LGA,2026-01-12 09:51,32.00,13.00,9.00,300.00,30.11,0.00,10.00,FEW
LGA,2026-01-12 10:51,32.00,14.00,11.00,290.00,30.13,0.00,10.00,FEW
LGA,2026-01-12 11:51,33.00,13.00,14.00,290.00,30.16,0.00,10.00,FEW
LGA,2026-01-12 12:51,33.00,13.00,15.00,270.00,30.19,0.00,10.00,FEW
LGA,2026-01-12 13:51,34.00,13.00,11.00,250.00,30.21,0.00,10.00,FEW
LGA,2026-01-12 14:51,35.00,13.00,15.00,260.00,30.19,0.00,10.00,FEW
LGA,2026-01-12 15:51,37.00,14.00,13.00,270.00,30.18,0.00,10.00,FEW
LGA,2026-01-12 16:51,38.00,13.00,9.00,240.00,30.16,0.00,10.00,FEW
LGA,2026-01-12 17:51,40.00,14.00,13.00,220.00,30.13,0.00,10.00,FEW
LGA,2026-01-12 18:51,40.00,14.00,8.00,240.00,30.11,0.00,10.00,FEW
LGA,2026-01-12 19:51,40.00,14.00,14.00,230.00,30.12,0.00,10.00,FEW
LGA,2026-01-12 20:51,40.00,15.00,11.00,240.00,30.11,0.00,10.00,FEW
LGA,2026-01-12 21:51,40.00,15.00,9.00,250.00,30.10,0.00,10.00,FEW
LGA,2026-01-12 22:51,39.00,16.00,11.00,240.00,30.11,0.00,10.00,FEW
LGA,2026-01-12 23:51,39.00,16.00,9.00,230.00,30.12,0.00,10.00,FEW
LGA,2026-01-13 00:51,38.00,16.00,11.00,230.00,30.12,0.00,10.00,FEW
LGA,2026-01-13 01:51,38.00,17.00,11.00,250.00,30.12,0.00,10.00,FEW
LGA,2026-01-13 02:51,39.00,16.00,11.00,250.00,30.12,0.00,10.00,FEW
LGA,2026-01-13 03:51,39.00,15.00,13.00,250.00,30.12,0.00,10.00,FEW
LGA,2026-01-13 04:51,38.00,16.00,13.00,260.00,30.12,0.00,10.00,FEW
LGA,2026-01-13 05:51,38.00,16.00,13.00,250.00,30.11,0.00,10.00,FEW
LGA,2026-01-13 06:51,38.00,17.00,6.00,240.00,30.09,0.00,10.00,FEW
LGA,2026-01-13 07:51,37.00,16.00,10.00,230.00,30.10,0.00,10.00,BKN
LGA,2026-01-13 08:51,37.00,16.00,8.00,240.00,30.08,0.00,10.00,SCT
